"Contractor","Case Count"
"S.R.L. SB-DANIELA",0
"LOGO-STUDIUM S.R.L.",0
"ARIPARTEX S.R.L.",0
"S.R.L. POVLADAR",0
"S.C. GVININ CONS S.R.L.",0
"S.C. GRINI-MAX S.R.L.",0
"DVD-TRANS S.R.L.",0
"METANTENC S.R.L.",0
"S.C. VANRO - COM S.R.L.",0
"Mihai-Gabriel Nicolae Alexandru",0
"S.C. DETIVA -  CONS S.R.L.",0
"S.C. OXALION S.R.L.",0
"CASA-CONSTRUCT S.R.L.",0
"MONTAJ-SV",0
"SC Silva Trading SRL",0
"GLOBAL SERVICE SRL",0
"ŞARM S.A.",0
"SAGITOD - GRUP S.R.L.",0
"MODERN SISTEM S.R.L.",0
"S.C. BITPROGRAM S.R.L.",0
"S.C. DIVERTIS SERVICE S.R.L.",0
"Î.S. CENTRUL DE PREGĂTIRE A SPECIALIŞTILOR PENTRU ARMATA NAŢIONALĂ",0
"S.C. LANJERONIC S.R.L.",0
"S.C. OLPOLEMN S.R.L.",0
"C.P. SVIMUN - PRIM",0
"S.C. ARHIDOC S.R.L.",0
"S.C. ELECTROPRIM-RS S.R.L.",0
"AIR MOLDOVA О.S.",0
"SC VODIMEDICOR SRL",0
"SC Casa-Invest SRL",0
"PROFNATIN S.R.L.",0
"GITISI S.R.L.",0
"PALEX-SERVICE SRL",0
"ANDIRA-PRIM S.R.L.",0
"ENDO-CHIRURGIE S.R.L.",0
"Î.M. ĂИПРÎСТРÎЙМÎСТ-М S.R.L.",0
"SIMBO-PROIECT S.R.L.",0
"Î.M. MASTER SYSTEMS S.R.L.",0
"Vadim Colţov ",0
"S.S.M.-CONSULTING S.R.L.",0
"LEXASIGUR S.R.L.",0
"RE-AKTIV LLC",0
"Î.C.S. Societatea de Audit BDO AUDIT & CONSULTING S.R.L.",0
"S.C. DENOLGA MEDICAL S.R.L.",0
"Î.M. ALMOR-PLUS S.R.L.",0
"VIMPEX-SV S.R.L.",0
"S.C. PODURI PRIM S.R.L.",0
"UNIVERS  EDUCAŢIONAL S.R.L.",0
"I.I. TATIANA ZUBCOVA",0
"ALISIDORA-SVV S.R.L.",0
"USFRUMAX S.R.L.",0
"Î.S. INSTITUŢIA OSC-29/6",0
"GHEVIANU-M S.R.L.",0
"Î.C.S. UNITED ELECTRIC INDUSTRY S.R.L.",0
"STICLĂMONT S.A.",0
"TOPIMOBIL S.R.L.",0
"F.P.C. ARSEC S.R.L.",0
"DAC-SPECTROMED S.R.L.",0
"S.R.L. NALAD-CA-COMERŢ",0
"Î.C.S. GLOBALPHARM COMPANY S.R.L.",0
"S.C. DIDAC-COM S.R.L.",0
"S.C. LERAI GRUP S.R.L.",0
"Asociația Patronală Federația Patronală a Constructorilor, Drumarilor și a Producătorilor materialelor de Construcţie ”Condrumat”",0
"S.C. VICONS-SERVICE S.R.L.",0
"S.C. IRINDA PRIM S.R.L.",0
"PIACENTI RESTAURARE S.R.L.",0
"S.C. LINIA NOVA S.R.L.",0
"S.C. AZICA-GRUP S.R.L.",0
"ZAGAICIUC FIODOR О.I.",0
"S.C. MEDEC-SERVICE S.R.L.",0
"S.C. DARCONSTRUCT MRVD S.R.L.",0
"AURORA-STROI S.R.L.",0
"REMCOR-RAPID S.R.L.",0
"MAGISTRALA-NORD S.R.L.",0
"S.C. NEPACONPLAST S.R.L.",0
"BRAGA & COMPANY S.R.L.",0
"HOTEL DACIA S.R.L.",0
"S.C. ROSSOFT S.R.L",0
"ZÎMBET S.R.L.",0
"INFO-TRUST CONSULTING S.R.L.",0
"ADOLESCENŢA Î.S.",0
"CAMPINGUL DIN VADUL LUI VODĂ S.R.L.",0
"S.C. KRAFTSAC S.R.L.",0
"CAMONIR S.R.L.",0
"S.C. NELEDIMPEX S.R.L.",0
"Cantina LICEIST Î.S.",0
"S.C. DROMAS-CONS S.R.L.",0
"POLIMER GAZ CONSTRUCŢII S.R.L.",0
"MARIN-NAVAL-GRUP S.R.L",0
"S.C. ART BUSINESS CLUB S.R.L.",0
"Firma VESTA S.R.L.",0
"S.C. TVARITA-TRANSGAZ S.R.L.",0
"BUCURIA-EL Î.S.",0
"DANUBIUS S.R.L.",0
"RUGIDAVA S.R.L.",0
"S.R.L. MOLPRIM-COM",0
"S.R.L. PROPRIETAR PLAST",0
"PROMTEHGAZ S.A.",0
"F.P.C. VALIS S.R.L.",0
"INSTITUTUL DE PROIECTĂRI PENTRU ORGANIZAREA TERITORIULUI Î.S.",0
"DOICOV VALERIAN VASILI",0
"GHEORGAL-C S.R.L.",0
"S.C. HARD-TEH S.R.L.",0
"GLORILUM-PRIM S.R.L.",0
"S.C. ACRAGLOB-CONS S.R.L.",0
"ANDRONIX-DIN S.R.L.",0
"COMPANIA ELECTRICĂ S.A.",0
"MIC-TAN S.R.L.",0
"IURITANA S.R.L.",0
"ENELCONSTRUCT S.R.L.",0
"ERICON S.R.L.",0
"CHIRPII ALEXANDRU FEODOR",0
"DRUMURI-COMRAT S.A.",0
"STINCOM SERVICE S.R.L.",0
"INFO-PRIM NEO S.R.L.",0
"MONCOMTEX S.R.L.",0
"URBANPROIECT Î.S.",0
"OLCRISCOM S.R.L.",0
"COMPANIA ALBINSTAL S.R.L.",0
"CONSTRONG S.R.L.",0
"LUXCONSISTEM S.A.",0
"Î.C.S. MED CARE S.R.L.",0
"SERVICIUL ASISTENŢĂ BENEFICIARI LA OBIECTELE SOCIALE Î.S.",0
"S.R.L. CASCOM - LUX",0
"Vlad-Iustin Tica ",0
"S.C. LEMN COMERŢ S.R.L.",0
"ASTRAL-PROIECT S.R.L.",0
"COMBINATUL POLIGRAFIC DIN CHIŞINĂU Î.S.",0
"FLORĂRIE S.A.",0
"EDITURA DIDACTICĂ LUMINA О.S.",0
"SILIRS S.R.L.",0
"BLITZ POLIGRAF S.R.L.",0
"SPECIMEN S.R.L.",0
"S.R.L. MADION-NORD",0
"INOVATEC S.R.L.",0
"POJTEH-GRUP S.R.L.",0
"CONSTRUCTORUL-GARABAJIU Î.I.",0
"S.C. CARNALS GRUP S.R.L",0
"AMAGER-COM S.R.L.",0
"S.C. ENERGECONOM S.R.L.",0
"DRUMURI-STRĂŞENI S.A.",0
"S.C. DUBLU SENS S.R.L",0
"S.C. BRODEŢCHI S.R.L.",0
"CHISTRUGA IVAN VLADIMIR",0
"FALER-EXIM S.R.L.",0
"SEMAFOR-SERVICE S.R.L.",0
"S.C. GRAFICON-AV S.R.L.",0
"RUVICONSTRUCT S.R.L.",0
"ACADEMIA DE ADMINISTRARE PUBLICĂ DE PE LÎNGĂ PREŞEDINTELE REPUBLICII MOLDOVA",0
"S.C. NEOCOMPUTER GRUP S.R.L.",0
"S.A.D. PROIECT S.R.L.",0
"Î.M. DIRECŢIA DE CONSTRUCŢII CAPITALE COMANDITAR UNIC ORAŞULUI BALŢI",0
"George Cristian  ALECU ",0
"F.P.C. PRODOMUS S.R.L.",0
"S.C. MUNTEAN-CONFINIS S.R.L.",0
"Asociatia Contabililor si Auditorilor Profesionisti din Republica Moldova",0
"CASA-CRISTEA Î.I.",0
"FLOR FAR S.A.",0
"SANTO-M S.A.",0
"PROSCON-LUX S.R.L.",0
"BELOCTAN S.R.L.",0
"SNV INVEST S.R.L.",0
"S.C. ELIGIBIL-CON S.R.L.",0
"RESTMED S.R.L.",0
"S.C. BIROLUX-MT S.R.L.",0
"S.C. CONSCOMVAL S.R.L.",0
"S.A. DRUMURI CAHUL",0
"TERRASISTEM S.R.L.",0
"COMERŢ-MAGOR S.R.L.",0
"DERMENGI ION ION",0
"FISCSERVINFORM Î.S.",0
"S.C. GAROMONT-STUDIO S.R.L.",0
"S.C. AERSIS-MF S.R.L.",0
"CAMERA DE COMERŢ ŞI INDUSTRIE A REPUBLICII MOLDOVA",0
"CORNICONS S.R.L.",0
"ALEXION STAR S.R.L.",0
"S.R.L. GOLIAT-VITA",0
"S.R.L. MEDPUNKT",0
"IURCRIS S.R.L.",0
"S.R.L. TEHNOSTEL-CAR",0
"AQUATEH S.R.L.",0
". SC Mihcons Plus SRL ",0
"S.C. CRINIC GRUP S.R.L.",0
"DACVI-COM S.R.L.",0
"Vasilachi Ion Constantin GȚ",0
"S.C. CHIRA-PRIM S.R.L.",0
"O-Video S.R.L.",0
"VLASERCOM S.R.L.",0
"PIAŢA CENTRALĂ Î.M.",0
"RCF-PRIM S.R.L.",0
"S.C. FASCONS PLUS S.R.L",0
"ROM-VIC S.R.L.",0
"MEDGLOBALFARM S.R.L.",0
"PROMEDTEH-SERVICE S.R.L.",0
"ILONET - PRIM S.R.L.",0
"S.C. UNGUREANU-CONS S.R.L.",0
"CENTRUL REPUBLICAN EXPERIMENTAL PROTEZARE, ORTOPEDIE ŞI REABILITARE Î.S.",0
"VOIAJ INTERNAŢIONAL & CO S.R.L.",0
"S.C. ALDOS GRUP S.R.L.",0
"GLOBEINVENT S.R.L.",0
"MIVERON-COM S.R.L.",0
"Lights Up Professional SRL",0
"FLOWER BLOOM S.R.L.",0
"FEODORA CONSTRUCT S.R.L.",0
"S.R.L. NBU-PROIECT",0
"DAC-SPECTROMED",0
"GBG-MLD S.R.L.",0
"ELTAVIUTEX S.R.L.",0
"POLISIMBOL S.R.L.",0
"Asociația Obștească Consiliile Americane pentru Învățămînt Internațional  Moldova ""AO ACTR-ACCELS""",0
"ÎNTREPRINDEREA DE DESERVIRE TEHNICA DIN BARDAR S.A.",0
"DECEBAL-IMPEX S.R.L.",0
"S.C. ITSC PLUS S.R.L.",0
"S.C ANSTELUX S.R.L",0
"BOMI-SERVIS S.R.L.",0
"GARANT DESIGN S.R.L.",0
"ECO URBAN S.R.L.",0
"GEMENII-SÎRBU Î.I.",0
"OLTIME S.R.L.",0
"S.R.L. OSCAN IMPEX",0
"LEGION-GRUP S.R.L.",0
"Centrul de Teatru din Moldova",0
"Î.S. RUSSCA",0
"Î.I. BEZNOS VICTOR",0
"S.C. POLIMONTAJ S.R.L.",0
"S.R.L. PALDIM SD",0
"Î.M. EDIL CONS LENIC S.R.L.",0
"FIRMA ORHEI-LADA-SERVICE S.R.L.",0
"OBADĂ GRUP S.R.L.",0
"CORTAMCOL S.R.L.",0
"PROFCAR TRADE S.R.L.",0
"SRL MONCOMTEX",0
"INDUSTRIALPROIECT S.R.L.",0
"S.A. REŢELELE TERMICE CAHUL",0
"S.R.L. ALEXCEB-SUD",0
"Î.C.S. CRISTINA MOLD-ROM SIMPEX S.R.L.",0
"S.C. BIOLAB-COM S.R.L.",0
"OPM SOLUŢII S.R.L.",0
"MENALINA IMPEX S.R.L.",0
"Casa de Comerţ NORVID-GRUP S.R.L.",0
"S.C. A.D.M.-C. S.R.L.",0
"ACVAN PLUS S.R.L.",0
"S.C. MEDIAPROSPECT S.R.L.",0
"INSTITUTUL DE ŞTIINŢE ALE EDUCAŢIEI",0
"S.C. FOREMCONS S.R.L.",0
"Î.M. JOLLY ALON S.A.",0
"GIBEONA-PLUS S.R.L.",0
"IMPRIMARE-COM S.R.L.",0
"PROTECŢIA PLANTELOR Î.S.",0
"S.C. PRESTIGIU-AZ S.R.L.",0
"Î.M. PROJECT CONSULTING NETWORK S.R.L.",0
"DSRM-3 S.A.",0
"Agent de Asigurare ATTERA COMPANY S.R.L.",0
"PRODAGROTRADE S.R.L.",0
"DI & TRADE ENGINEERING S.R.L.",0
"GRAFICART S.R.L.",0
"LAXVA COM S.R.L.",0
"Reprezentanţa S. A. INTRASOFT INTERNATIONAL",0
"Î.M. ""ТÎРĂÎÂЫЙ ДÎМ ""ÎДЕСКАБЕЛЬ-МÎЛДÎÂА"" S.R.L.",0
"S.C. NUMEX&CO S.R.L.",0
"CREDO-C S.R.L.",0
"S.R.L. TRIDIMENSIONAL TEC",0
"MS-PROD S.R.L.",0
"S.C. CUCURUZ NICOLAE S.R.L.",0
"IZVORUL CUCULUI S.R.L.",0
"Caisley International GMBH",0
"FERTILITATEA-CHIŞINĂU S.A.",0
"AGROFERMOTECH S.R.L.",0
"Centrul regional de dezvoltare socio economica",0
"UNDECIMA S.R.L.",0
"F.P.C. CARNEX S.R.L.",0
"S.R.L. VICTAD - VM",0
"PSP ONLINE S.R.L.",0
"Î.C.S. GENESIS INTERNATIONAL S.R.L.",0
"PANIFCOOP a URECOOP din Strгєeni",0
"Î.M. BADPRIM S.R.L.",0
"PROINCON S.R.L.",0
"CORDACOM S.R.L.",0
"S.C. CAMIAR- DESIGN S.R.L.",0
"MODASTIL-PRIM S.R.L.",0
"DROSTAL S.R.L.",0
"PRINT FILE S.R.L.",0
"S.C. CONSISTCOM S.R.L.",0
"Î.C.S. RELIABLE SOLUTIONS DISTRIBUTOR S.R.L.",0
"CASA-CRISTEA О.I.",0
"Î.M. ECOPOWER S.R.L.",0
"S.C. CONSULTING, ENERGIE ŞI COMERŢ S.R.L.",0
"S.C. IMVOCOM-PRIM S.R.L.",0
"HELIO S.R.L.",0
"S.C. SOLGON - I S.R.L.",0
"O.P. A.P.S.P.- GRUP S.R.L.",0
"College of Europe",0
"TEHNOMEDICA S.R.L.",0
"ARNIT-PRIM S.R.L.",0
"EDIF-CONSTR S.R.L.",0
"AGENȚIA ROMÂNĂ DE ASIGURARE A CALITĂȚII ÎN ÎNVĂȚĂMÎNTUL SUPERIOR - ARACIS",0
"S.C. NEOTON COM S.R.L.",0
"POŞTA MOLDOVEI О.S.",0
"IUGINTERTRANS S.A.",0
"CONSEUROSTIL S.R.L.",0
"ILP SRL",0
"S.B.-FAINEX S.R.L.",0
"DELEU-DELEV О.I.",0
"SG MEDIA M1 S.R.L.",0
"NINA & ASN S.R.L.",0
"STAŢIUNEA BUCURIA-SIND S.R.L.",0
"S.C. MCI & CO-CONSTRUCT S.R.L.",0
"AVANTAJ-MĂS S.R.L.",0
"GT Belivaca Mihail Alexei",0
"VARGUS-GRUP S.R.L.",0
"CARTUŞ Î.S.",0
"AMELINA-MOB S.R.L.",0
"S.R.L. TERRA ARB GRUP",0
"PASCARI PAVEL Î.I.",0
"FERTILITATEA-IALOVENI S.A.",0
"Î.S. ÎNTREPRINDEREA DE REPARARE ŞI EXPLOATARE AUTO",0
"CENTRUL AUTO KAMAZ S.R.L.",0
"S.C. MEDORIENTSTAR S.R.L.",0
"Î.I. MADAN ANA",0
"S.C. PROFSISTEM S.R.L.",0
"S.C. SONARIS - COM S.R.L.",0
"COLPRODCOOP DIN OR.ORHEI A MOLDCOOP",0
"S.C. P.V. CONST-SERVICE S.R.L.",0
"ELVE-CONSTRUCT S.R.L.",0
"MEDIA-SECURITY S.R.L.",0
"ALG CAPITAL S.R.L.",0
"S.C. SENVEROL S.R.L.",0
"Î.C.S. DIAMEDIX IMPEX S.R.L.",0
"DRUMURI-BĂLŢI S.A.",0
"S.R.L. ENDOSONOMED",0
"GEMBIRD S.R.L.",0
"PROFILABDIAGNOSTIC S.R.L.",0
"FABRICA DE UNT DIN FLOREŞTI S.A.",0
"DATARIO S.R.L.",0
"S.R.L. DAMITEX GRUP",0
"Dzeţul Lilian ",0
"Sajin MED-M-COMERT SRL Ludmila",0
"SET-SERVICE S.A.",0
"ROMEDCOM S.R.L.",0
"UNFLORIA S.R.L.",0
"Agenţia de Pază BAY KUŞ S.R.L.",0
"S.R.L. ALFIN SERVICE",0
"FORTRESS S.R.L.",0
"CARNPRODLUX S.R.L.",0
"MONOTIP S.A.",0
"COMBINATUL DE PANIFICAŢIE FĂLEŞTI",0
"AG MEDICAL S.R.L.",0
"BORINTEX S.R.L.",0
"VIDEOZOOM S.R.L.",0
"MARKET-PRIM NR.15 S.R.L.",0
"S.R.L. PROXIMUS - PRIM",0
"Î.C.S. MEGASTROI S.R.L.",0
"LIDIA COICA Î.I.",0
"COTUNĂ R.A. Î.I.",0
"S.R.L. GOLD-CONSTRUCT",0
"Î.I. SINDI-TAMOJNIC",0
"FLORMODERN S.R.L.",0
"FRIGUŞOR-CHIOSA Î.I.",0
"GALORES S.R.L.",0
"DRUMURI-SOROCA S.A.",0
"S.A. DAAC-OLIMP",0
"EUROSERVICES CLEANING S.R.L.",0
"PANIFCOOP a URECOOP din Străşeni",0
"GRUP VICOLIV  SRL",0
"VIORICA-COSMETIC S.A.",0
"Î.S. CENTRUL DE TELECOMUNICAŢII SPECIALE",0
"STIINTA SI INOVARE PUBLICATIE PERIODICA",0
"Î.S. CENTRUL DE METROLOGIE APLICATĂ ŞI CERTIFICARE",0
"S.R.L. DACROM GRUP",0
"AUTOBAZA ACADEMIEI DE ŞTIINŢE A MOLDOVEI Î.S.",0
"Î.M.C.C.P. AD REM S.R.L.",0
"F.P.C. DEPO-TRIFARM S.R.L.",0
"HIDROTEH CONSTRUCT S.R.L.",0
"S.R.L. RENIUR - CONS",0
"CATANOI MAXIM FILIP",0
"S.R.L. SMALCON PRIM",0
"Î.M. GHERMED-K S.R.L.",0
"J.N.N.-GRUP S.R.L.",0
"SC Casa Invest SRL",0
"O.P. VIDEO ACCES SISTEM S.R.L.",0
"INTRALEX C & C S.R.L.",0
"S.R.L. NUFĂR-CIA",0
"PROMEDLEX S.R.L.",0
"STATIMUS PRIM S.R.L.",0
"S.C. RUTA-PRIM SERVICE S.R.L.",0
"MEDICAMENTUM S.A.",0
"PLATON-LUNGU DORINA GHEORGHE",0
"BALNEO-EXPRES S.R.L.",0
"MOBILEMN GRUP S.R.L.",0
"Î.C.S. S & T MOLD S.R.L.",0
"ONEGA-M S.R.L.",0
"S.C. „Revismed” S.R.L.",0
"S.C. COPMAN-SERVICE S.R.L.",0
"CAPITOLES PARK S.R.L.",0
"F.P.C. INVEST-FOND S.R.L.",0
"CHIŞINĂUPROIECT Î.M.",0
"CHIMCONSULT S.R.L.",0
"S.R.L. ALANCRIS",0
"Asociaţia Obştească ""Asociaţia Presei Independente""",0
"F.P.C. MIH-PETROL S.R.L.",0
"ALL EVENTS S.R.L.",0
"CRIZANTEMA О.S.",0
"DIXAPEL S.R.L.",0
"TRANSMED IMPORT S.R.L.",0
"BDR ASSOCIATES-STRATEGIC COMMUNICATION S.R.L.",0
"TEMEI-VTAC S.R.L.",0
"S.C. IUNAVIT - CON S.R.L.",0
"S.C. PLASTEXIM - NORD S.R.L.",0
"S.C. ASUSCOM-EXIM S.R.L.",0
"GRINVITAS - AUTO S.R.L.",0
"ALFAFAVORIT CONSTRUCT S.R.L.",0
"S.C LIDER - COMPLET S.R.L",0
"TERRA-LIG S.A.",0
"RESACONS-STR S.R.L.",0
"VOCAŢIE S.R.L.",0
"GALCHIM & CO S.R.L.",0
"GABRINA-PRIM S.R.L.",0
"S.R.L. CONTROL & SERVICE",0
"CIREŞAR-ŞTEFĂNICĂ О.I.",0
"ASTORIA PLUS SRL",0
"UTI SYSTEMS INTERNATIONAL S.R.L.",0
"NORTON S.R.L.",0
"LABORATOR MEGA S.A.",0
"S.R.L. FLUXMEŞTER-V.A.",0
"TIPOGRAFIA ACADEMIEI DE ŞTIINŢE A MOLDOVEI О.S.",0
"S.C. ORSERVITOL S.R.L.",0
"S.C. OLTEX-AQUA S.R.L.",0
"S.C. SETIMETO GRUP S.R.L.",0
"Î.C.S. EPSILON MEDICAL S.R.L.",0
"Î.I. OXANA EDINAC",0
"POLISANO PRIM S.R.L.",0
"DAGAZ&FEHU S.R.L.",0
"S.R.L. LORANCE",0
"S.C. AMBIANT CLIMAT S.R.L.",0
"COOP UNIVERSALCOOP CANTEMIR",0
"CONIG PRIM S.R.L.",0
"S.C. EXPOCOSTAS S.R.L.",0
"VISIOSYSTEMS S.R.L.",0
"S.C. NETSISTEM S.R.L.",0
"RAPID CURIER S.R.L.",0
"MAXTOM LUX S.R.L.",0
"S.C. MEGARESURS-COM S.R.L.",0
"SISTEM ATIS S.R.L.",0
"SOVILERUS S.R.L.",0
"S.R.L. LECOCONS",0
"S.C. PRO-MAPIX S.R.L.",0
"P.P. PATRIA",0
"Î.M. BIROUL ARHITECTURĂ ŞI SISTEMATIZARE",0
"DRUMURI-CRIULENI S.A.",0
"SilvaTrading SRL",0
"SERVICII CURĂŢENIE S.R.L.",0
"PROIECT GABION S.R.L.",0
"S.R.L. ASINV",0
"Î.S. CENTRUL DE CARANTINĂ, IDENTIFICARE, EXPERTIZE DE ARBITRAJ ŞI DEZINFECTARE A PRODUCŢIEI",0
"WHITE STAR S.R.L.",0
"Î.M. Broker de Asigurare - Reasigurare SOCIETE DE COURTAGE S.R.L",0
"EXDRUPO Î.M.",0
"S.R.L. VASSY TRADE",0
"S.C. TOPTEHIMPEX S.R.L.",0
"CRIZANTEMA Î.S.",0
"Î.I. ŞCHIOPU LUDMILA",0
"VOTCONSTRUCT S.R.L.",0
"IULICONS GRUP S.R.L.",0
"S.C. CALBOR GRUP S.R.L.",0
"SC BALNEOSERVICE-BOBROV&C SRL",0
"S.C. LUCEAFĂRUL DE SEARĂ S.R.L.",0
"Î.I. LIPOVAN-VECTRA",0
"INDUSTRIALCAR-COM S.R.L.",0
"Î.C.S. EYECON MEDICAL S.R.L.",0
"O.P.P. ALFIN-PROTECT S.R.L.",0
"S.C. DIROVE-NORD S.R.L.",0
"DIARSE-TEHNIC S.R.L.",0
"TAXAR-AGRO S.R.L.",0
"EUROTIR-TRANS S.R.L.",0
"DIN-VEST S.R.L.",0
"TESTOR S.R.L.",0
"FARMACIA COJUŞNA S.R.L.",0
"Sanatoriul NUFĂRUL ALB S.R.L.",0
"S.A. DRUMURI-BRICENI",0
"NOBIL INVEST S.R.L.",0
"A.F.Marcotec Bucuresti - Consulting, Engineering, Marketing S.R.L.",0
"S.C. DIATA-PLUS S.R.L.",0
"SMARTINVEST S.R.L.",0
"TRICOLUX S.R.L.",0
"SIMONOV DUMITRU VICTOR",0
"NEOTEHNOLUX S.R.L.",0
"SATURN-PAVLOV II",0
"AIM VOIAJ S.R.L.",0
"Î.C.S. KPMG MOLDOVA S.R.L.",0
"S.C. IURCONSTRUCT S.R.L.",0
"ECOAER CLIMAT S.R.L.",0
"SC Sante International SA",0
"S.R.L. VALOR CONSTRUCT",0
"Î.M. INTERFOBOS GRUP S.R.L.",0
"CONS-SIT-GRUP S.R.L.",0
"DC WEBSOFT S.R.L.",0
"Î.S. COMBINATUL DE DESERVIRE SOCIALĂ",0
"COMBINATUL POLIGRAFIC DIN CHIŞINĂU О.S.",0
"BLOCNOTES S.R.L.",0
"CENTRUL RESURSELOR INFORMAŢIONALE DE STAT ""REGISTRU"" О.S.",0
"BUJOR SPORT S.R.L.",0
"EDITURA UNIVERSUL О.S.",0
"BIROGRUP MARKET S.R.L.",0
"REGLET-MAX S.R.L.",0
"Î.C.S. EMIL & IAN SERVICE S.R.L.",0
"CENTRUL SPORTIV DE PREGĂTIRE A LOTURILOR NAŢIONALE",0
"TUVKarpat",0
"MEDISAN О.S.",0
"S.C. ANICOM & CO S.R.L.",0
"TORPEDO COOP",0
"S.C. DARAMAX-COM S.R.L.",0
"COMPUTEX S.R.L.",0
"S.C. MIDAND MED & CO S.R.L.",0
"WIZCONTABIL S.R.L.",0
"S.C. LISNIC GRUP S.R.L.",0
"S.C. CLIMACONTROL S.R.L.",0
"GRAUR ALEXANDRU Î.I.",0
"DONAL-ELECTRO S.R.L.",0
"C.P. DACIA-90",0
"CLUBUL SPORTIV CENTRAL AL ARMATEI",0
"S.R.L. VIPROMED SERVICE",0
"ENERGGRUP BT S.R.L.",0
"ROYAL PUBLIC S.R.L.",0
"QUEEN'S RESIDENCE PARK S.R.L.",0
"S.C. ANDIGOR S.R.L.",0
"FORA & C S.R.L.",0
"""SAFCONS""  ",0
"ALLA MARIN MIHAIL",0
"RĂDIŢA NICOLAE ŞTEFAN",0
"LOVIS ANGRO S.R.L.",0
"S.R.L. PAVERGAL - UNIC",0
"S.R.L. TALVA TRADE",0
"DEEPLACE S.R.L.",0
"ALFA ELECTRO-MONTAJ GRUP S.R.L.",0
"S.C. ARCADA-PLAST S.R.L.",0
"S.C. PUBLIC MEDIA GRUP S.R.L.",0
"S.C. TEHNOCLIMAT S.R.L.",0
"GABYLEX S.R.L.",0
"S.C. REŢELE TERESTRE S.R.L.",0
"Î.C.S. SANPRODMED S.R.L.",0
"TANCRAD INTERNATIONAL S.R.L.",0
"APROVIZIONARE Î.M.",0
"DANT-AGRO S.R.L.",0
"Î.I. SAVCIUC OXANA",0
"AVDARMA PROECT S.R.L.",0
"Eugen  BASS Systems SRL ",0
"TANDAREL  GRUP S.R.L.",0
"RISCANI-SC Î.S.",0
"GHEORGHE LECA Î.I.",0
"S.C. T-PAR S.R.L.",0
"TROCIN ION GHEORGHE",0
"S.R.L. ALLCHIM CO",0
"TAMKAR S.R.L.",0
"Liana- Intermedia",0
"ООО""Приморъе""",0
"S.C. DANIELA BUJOR S.R.L.",0
"LIFTMONTAJ S.A.",0
"F.P.C. AVOLVODA S.R.L.",0
"PREMIUM-PROD S.R.L.",0
"ARH-EST STUDIO S.R.L.",0
"S.R.L. MOTARI LUX",0
"S.C. RODITAL- LUX S.R.L.",0
"FPC AGAS-ROS S.R.L.",0
"S.R.L. ALEXCONSTRUCT",0
"CARUN SRL",0
"S.C. LUXGAZ S.R.L.",0
"ADRIKA S.R.L.",0
"TECHNO-INOX S.R.L.",0
"BINAMEX-M S.R.L.",0
"S.R.L. CONAPRIM GRUP",0
"""ADORMOBILA"" SRL",0
"""ADOR MOBILA"" SRL",0
"Rapiscan Systems LTD",0
"EVOSISTEM & COM S.R.L.",0
"LITERA A.V.N. S.R.L.",0
"P.P. ODORAŞUL S.R.L.",0
"TEHNO-NAVIGARE S.R.L.",0
"MOTOR STAR S.R.L.",0
"NICONES-GRUP S.R.L.",0
"S.C. GT-TEHNOLOGII S.R.L.",0
"S.C. ANELITA PRIM S.R.L.",0
"AROXAN SERVICE S.R.L.",0
"SC AF Marcotec Bucuresti CEM SRL",0
"XEROTON S.R.L.",0
"MEDINTERGRUP S.R.L.",0
"SEVASTIAN-ALFA Î.I.",0
"MARKETING & PR S.R.L.",0
"S.C. TEHMOTIV S.R.L.",0
"STEJAUR-MARKET S.A.",0
"MN SPERANŢA S.R.L.",0
"NUFĂRUL S.A.",0
"AGW EXPERT GROUP S.R.L.",0
"S.R.L. ACUSTMED",0
"VOLARE-TUR S.R.L.",0
"S.C. IT SERVICE PRO S.R.L.",0
"S.R.L. CRASTEIA-AURICA",0
"S.R.L. MACELARIA",0
"MAGAZINUL UNIVERSAL CENTRAL ""UNIC"" S.A.",0
"S.C. PRODVIXON S.R.L.",0
"CENTRUL DE SĂNĂTATE PUBLICĂ MUNICIPAL BĂLŢI",0
"Î.I. MARDARI POLINA VASILE",0
"MARIA GLODEANU S.R.L.",0
"S.R.L. SERVICII URBANE",0
"SANINTRADE S.R.L.",0
"SMART ID DYNAMICS S.R.L.",0
"AGROFIRMA UNIVERSAL S.R.L.",0
"S.R.L. ANGRO-SUD",0
"COOP REMONTNIC",0
"GENESIS INTERNATIONAL S.R.L.",0
"CONSTRUCT AGENT GRUP S.R.L.",0
"ALEX-B S.R.L.",0
"S.R.L. STARLINE TEXTILE",0
"Î.C.S. ARGUS-TEH S.R.L.",0
"REPELCOM S.R.L.",0
"Î.M. EUROPEAN SOFTWARE COMPANY S.R.L.",0
"HOTELUL ZAREA О.S.",0
"S.C. LABITON S.R.L.",0
"SANAIR-SERVICE S.R.L.",0
"BELMOND-PRINT S.R.L.",0
"ELEN-CRIS GRUP S.R.L.",0
"DIRON S.A.",0
"S.R.L.,,Tehnic Consulting Engineering România",0
"Î.C.S. SPICA VZI S.R.L.",0
"S.R.L. MAXTEH DESIGN",0
"S.C. TOTAL GRAVURĂ S.R.L",0
"S.C. BLANCONSTRUCT S.R.L.",0
"S.R.L. ,,Gloria,,",0
"S.C. AMFITECONS S.R.L.",0
"MARDARI IURIE DUMITRU",0
"S.A. TIPOGRAFIA  ŞTEFAN-VODĂ",0
